0.477057031,22.08461711
0.526478301,21.4190184
0.552248924,21.25742942
0.604041921,19.68141315
0.639317924,19.23372924
0.695108943,17.94563512
0.722659407,16.74128645
0.792774747,16.23640236
0.836566398,15.99010016
0.909566033,15.03505545
0.945649647,13.28695377
1.015994301,11.83456352
1.078533727,11.74575266
1.176119617,11.56884884
1.2560141,11.21894245
1.369644701,11.22220623
1.445316253,10.88234762
1.576088679,10.71844763
1.688187516,10.39436636
1.813640475,10.31677716
1.931066395,10.00464003
2.099573214,9.407090395
2.182778313,8.843900065
2.310460964,7.519652611
2.423713893,6.749137335
2.542671209,5.520730841
2.627773038,4.954790331
2.659725966,3.990288416
2.840416927,3.839790642
3.097495936,3.638515814
3.29802979,3.555823527
3.522049189,3.475045436
3.761322881,3.343980574
4.089519234,3.168663423
4.38038507,3.072856221
4.664137715,2.844779225
4.878269397,2.475486941
5.117595092,2.088541013
5.368500454,1.845765252
5.64855135,1.631226543
5.960927314,1.464109233
6.328391104,1.274111195
6.599025738,1.152411603
7.026779433,1.002872749
